,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
33,2020-10-20, Aldi Store Assistant,Current Employee,"Southend, Scotland, Scotland",4,3.0,4.0,5.0,4.0,4.0,4.0,v,r,v,Good money but you are just a number.,Great pay and benefits with friendly co workers,Managers don’t care how Ill you may be and how much of a life you have outside of work.,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
35,2020-10-21, Deputy Manager,"Former Employee, more than 8 years","Caerphilly, Wales, Wales",4,1.0,4.0,5.0,4.0,4.0,3.0,o,o,o,Good pay,"Great pay, higher than most",A lot of work. Non stop all day,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
37,2020-10-22, Manager,"Current Employee, more than 5 years","Swindon, Wiltshire, South West England, England, England",2,1.0,3.0,5.0,2.0,2.0,1.0,x,r,x,Great start - expect too much,"In the right store this job can be very rewarding
Pay is very good
Sick pay good
Pension excellent","Long hours (48 per week for salary managers)
No support from HR / area managers
Often short staffed
State weekends off will rotate but very very rarely can you do this
Suggest you can do 40 contract hours but never offered",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
39,2020-10-23, Deputy Manager,Current Employee,"Leicester, England, England",3,2.0,2.0,3.0,3.0,3.0,1.0,x,r,r,Physical and fast paced but the time goes fast,Can be flexible and time goes fast,Can be very repetitive and higher management are not always the most understanding,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
41,2020-10-24, Store Assistant,"Current Employee, more than 3 years","Preston, North West England, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,o,o,o,Hours,Good rates off pay available,Early starts a lot off manual work,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
43,2020-10-25, Aldi Store Assistant,"Current Employee, more than 1 year","Wolverhampton, England, England",5,3.0,4.0,4.0,3.0,5.0,4.0,o,o,o,Good Company. Great Benefits.,Very flexible place to work,Long hours and very fast paced.,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
45,2020-10-26, Assistant Manager,"Current Employee, more than 8 years","Gosport, England, England",4,1.0,3.0,3.0,4.0,4.0,3.0,x,o,v,Good pay,Meeting lots of nice people,Working long hours and random shift pattern,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
47,2020-10-26, Customer Service,Current Employee,"Hyde, England, England",4,2.0,3.0,3.0,4.0,5.0,4.0,v,o,v,Good,Good benefits and incentives for employees,Work schedules aren’t great for working mums,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
49,2020-10-28, Sales Assistant,"Current Employee, more than 3 years","Glasgow, Scotland, Scotland",5,3.0,4.0,5.0,4.0,4.0,4.0,v,r,v,Everyday is different but also same familiar routine,"Team work, pay is okay, depending on the manager you get some weekends off, always extra shifts if your wanting more, t","Must be flexible, may be sat at a till for 11 hours straight minus your half an hour break, targets are also quite hard to meet",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
51,2020-11-03, Unemployed,Former Employee,"Norwich, England, England",1,1.0,2.0,2.0,1.0,2.0,1.0,x,r,r,Poor progression,Good amount of hours in aldi,"Understaffed all the time
No progression chances 
Ran by area managers that have been to uni with no experience telling people eith experience what to do",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
53,2020-11-06, Product Owner,Current Employee,"Tamworth, England, England",5,4.0,4.0,3.0,4.0,2.0,4.0,v,r,v,Good comany,"Care for staff
Good work culture",Boring day to day job,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
55,2020-11-08, Store Assistant,"Former Employee, more than 5 years","Birmingham, England, England",4,4.0,4.0,5.0,4.0,4.0,4.0,v,v,v,Aldi,Easy and very good staff,None I really loved working there,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
57,2020-11-10, Deupty Manager,"Former Employee, more than 3 years","Stalybridge, England, England",4,1.0,3.0,3.0,4.0,3.0,4.0,v,r,r,Great pay but hard work,Met some amazing people here and the pay was great,Really hard work and long hours,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
59,2020-11-13, Deputy Store Manager,Current Employee,"Camborne, England, England",5,3.0,4.0,4.0,4.0,5.0,4.0,v,v,v,Intense but rewarding,"Generous pay package, overtime available, clear avenue of progression",Strict metric driven business kpis,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
61,2020-11-14, Area Manager,"Former Employee, more than 1 year","London, England, England",3,1.0,2.0,1.0,3.0,3.0,1.0,x,r,r,Challenging but rewarding,"High level of responsibility, challenging workload, work with people from diverse backgrounds","Unsocial hours, high tax due to car, lack of structured training, no qualifications, isolated role",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
63,2020-11-15, TILL OPERATOR,"Former Employee, less than 1 year","Reading, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,r,v,amazing,fast paced environment and friendly,can be busy and slightly stressful but only at peak-hrs,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
65,2020-11-16, Area Manager,"Current Employee, more than 5 years","London, England, England",5,4.0,5.0,5.0,5.0,5.0,5.0,o,o,o,Great Place to Work,"Great Pay and Benefits, Nice people to work for. The Store staff are excellent!","Working Long hours, and demanding at times",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
67,2020-11-17, Shelf Stacker,"Former Employee, less than 1 year","Nottingham, England, England",4,3.0,4.0,3.0,4.0,3.0,3.0,v,v,v,Aldi Shelf Stacker,Good pay for the work,Long hours and boring work,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
69,2020-11-20, Assistant Store Manager,"Current Employee, more than 3 years","Hove, England, England",1,1.0,3.0,3.0,1.0,3.0,1.0,x,r,x,Pay Well - Everything Else Bad,Pay - Some good staff - Good Customers,Hours - Knives/Stabbers - How Treated,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
71,2020-11-20, Customer Assistant,"Former Employee, more than 1 year","Bishops Stortford, England, England",4,2.0,4.0,5.0,5.0,4.0,3.0,x,r,r,Good money,"Good wages, good shift options",Long shifts and short breaks,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
73,2020-11-24, Assistant Store Manager,"Current Employee, more than 1 year","Portslade, England, England",1,1.0,1.0,1.0,1.0,5.0,1.0,x,r,r,I work hard,Smoking breaks and times of work and some cheap food,Lazy staff + clumsy & some of them no go,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
75,2020-11-26, Store Assistant,"Former Employee, more than 3 years","Newbury, England, England",2,3.0,1.0,1.0,1.0,2.0,1.0,x,r,r,Terrible workplace -dirty and disorganised,"paid breaks, paid holidays nothing else","disorganised, messy, right hand does not know what left hand is doing and vice versa, inconsistent, awful food waste management, expected to work all hours, constantly short of staff, staff attitudes appalling",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
77,2020-11-27, Anonymous Employee,Current Employee,"London, England, England",3,4.0,2.0,2.0,2.0,2.0,2.0,x,o,o,Ok,Easy job easy buckets yes,Low life dead pay no food,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
79,2020-11-27, Area Manager,"Current Employee, more than 3 years","Chester, England, England",4,2.0,3.0,4.0,2.0,3.0,4.0,x,r,v,Area Manager,High level of responsibity in the role,Work life balance is heavily impacted,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
81,2020-11-27, Store Assistant,"Former Employee, more than 1 year","Cheltenham, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,DO NOT WORK HERE,"The day you leave.
Never working here.","Bully culture, discrimination, homophobic and racist. 
Management are the worst I’ve ever come across. No empathy, couldn’t care less. 
Workload is mentally and physically unmanageable, impossible timeframes and absolute chaos. 
Customers are the rudest I’ve ever came across.
No work life/home balance. Minimum contracts, higher contracts always promised but nothing ever comes of it. Extra hours are not always available and inconsistent but still expected to work over 60 hours at Christmas. 
Pay has been so misconceived by outside sources. The pay is actually awful, they never pay you right. Always feels like they dock you and leave out hours of pay. You are too exhausted at this point to even care or figure it out though. If you leave, they don’t pay you at all so don’t work notice. Just leave on payday, go work at Tesco for 10p less and without a workload of 5 robots. 
No advancement opportunities, most managers are 15 to 20 years in, in their mid 40s or 50s and the area managers who boss them about are straight out of university 20 year olds. They are clueless and never last even a year. Don’t believe the lies, don’t waste your time. Do not ruin your life. People try to commit suicide on a Monday and get invited to a formal disciplinary hearing on the Tuesday. 
I’ve never seen a company who has no duty of care for there workforce as Aldi. Worst company to work for, period.",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
83,2020-11-28, Store Associate,"Current Employee, less than 1 year","Bristol, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great place to work,Flexi hours good rate of pay,I do not see any cons,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
85,2020-11-29, Trainee Area Manager,Former Employee,"London, England, England",4,3.0,4.0,3.0,4.0,5.0,4.0,v,r,r,Good place to work,"Rewarding, good career progression opportunities","High work load, inconsistent hours",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
87,2020-11-30, Field Monitoring Officer,Current Employee,"Chester, England, England",5,1.0,5.0,5.0,1.0,5.0,5.0,x,r,r,Sound,Breaks work people laugh fun,there are no cons for this job,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
89,2020-12-01, Sales Assistant,"Current Employee, more than 5 years","Grimbsy, England, England",3,2.0,1.0,3.0,4.0,3.0,2.0,x,r,v,Ok,Good money good team mates busy store,No work life balance at all,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
91,2020-12-01, Store Assistant,"Current Employee, more than 3 years","Middleton, Greater Manchester, North West England, England, England",2,1.0,1.0,5.0,2.0,4.0,2.0,x,r,x,Not enough care about staff. Can be poor work life balance,Pay that’s about it sadly,Managers don’t care about staff or feelings,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
93,2020-12-03, Deputy Manager,"Former Employee, more than 1 year","Blackburn, England, England",5,5.0,4.0,4.0,2.0,3.0,3.0,v,o,v,Great team,"Great staff morale, fast paced, but well structured.",Time targets are out of date,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
95,2020-12-03, Manager,"Former Employee, less than 1 year","London, England, England",1,1.0,3.0,2.0,2.0,5.0,1.0,x,r,x,No work life balance,Salary and benefits you get to work with some great people,"Unappreciated, too much pressure , overloaded",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
97,2020-12-04, Customer Assistant,Former Employee,"London, England, England",4,3.0,4.0,5.0,4.0,4.0,3.0,v,r,v,Aldi Customer Assistant,"Pays well
Flexible 
Extra hours are provided if needed","Early starts (4am)
Boss' titles can get to their heads",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
99,2020-12-04, Deputy Manager,Current Employee,"Newcastle upon Tyne, England, England",5,2.0,4.0,3.0,4.0,3.0,3.0,v,v,v,Great,Progression opportunities are good here,"Long hours, very physical work",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
101,2020-12-05, Customer Assistant,Current Employee,"Hemel Hempstead, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,r,v,Aldi review,"Great team, enjoy going to work, hard work and fast pace",Hard if your not used to quick pace,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
103,2020-12-08, Manager,"Former Employee, more than 10 years","Leicester, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Best employee,Best company I have worked for,Cannot think of any to add,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
105,2020-12-09, Trainee Openreach Engineer,Current Employee,"Glasgow, Scotland, Scotland",3,1.0,3.0,2.0,3.0,1.0,3.0,x,v,r,aldi,the pay win Aldi is great,horrible work life balance Aldi comes before family,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
107,2020-12-10, Deputy Manager,"Former Employee, more than 1 year","Birmingham, England, England",3,1.0,2.0,5.0,4.0,3.0,3.0,x,v,r,Salaris,Not a lot that I can remember,Way Too many to name,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
109,2020-12-10, Deputy Store Manager,"Current Employee, less than 1 year","London, England, England",5,3.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great place to work,People are lovely and higher management have always been really helpful and caring.,Not sure how payslips are worked out or sick pay etc.,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
111,2020-12-21, Store Assistant,"Current Employee, more than 1 year","Chester, England, England",4,5.0,4.0,5.0,4.0,3.0,5.0,v,v,v,Physically hard work,Busy and nice people who work as a team.,Physically hard work and can become abit repetitive.,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
113,2020-12-26, Aldi Shift Manager,Current Employee,"Manchester, England, England",3,3.0,1.0,2.0,3.0,3.0,4.0,x,o,x,Hard work,good pay if you do loads of hours,no work life balance if you want good pay,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
115,2020-12-29, Store Assistant,Current Employee,"Swindon, Wiltshire, South West England, England, England",4,3.0,4.0,3.0,4.0,3.0,4.0,o,o,o,Hard work but pays well,"Good pay, time goes fast and always something to do",tough time constraints for tasks and hard work,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
117,2020-12-30, Warehouse Selector,"Current Employee, more than 5 years","Neston, North West England, England, England",5,3.0,4.0,4.0,2.0,4.0,4.0,v,v,v,aldi,"well organised , easy work, good holidays",small contracts but do work over,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
119,2020-12-31, Customer Service,"Current Employee, less than 1 year","Warrington, North West England, England, England",5,2.0,3.0,3.0,2.0,2.0,2.0,v,r,r,Very nice,pay on time every month,you have to work sometimes,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
121,2021-01-01, Shop Assistant,"Former Employee, less than 1 year","Coventry, England, England",2,2.0,3.0,3.0,3.0,3.0,2.0,x,r,r,Stressful,Good pay compared to other shop assistant roles,"Always understaffed, always over-worked, very stressful. Managers are under a lot of pressure, you can never work fast enough for them.
Higher pay is not worth the stress",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
123,2021-01-04, Deputy Manager,"Current Employee, more than 8 years","Neston, North West England, England, England",5,5.0,5.0,5.0,2.0,3.0,5.0,v,r,v,deputy manager,"great work life balance
some understanding managers",progression doesn't really occur. job roles are usually filled externally,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
125,2021-01-04, Deputy Manager,"Current Employee, more than 8 years","Derby, England, England",5,3.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Fantastic Company,"Fast paced, challenging, good salary","Difficult to rest, pace of work place means it’s difficult to look after yourself sometimes.",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
127,2021-01-05, Industrial Placement Student,"Former Employee, less than 1 year","Atherstone, England, England",2,1.0,1.0,1.0,3.0,3.0,1.0,x,v,r,Placement Scheme Review,"- good exposure to business
- good level of responsibility",Awful culture with minimal support from peers,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
129,2021-01-06, Retail Store Assistant,"Current Employee, more than 8 years","Neston, North West England, England, England",2,2.0,3.0,3.0,2.0,4.0,2.0,x,r,r,Meh,Pay is always on time,The job is a ball ache,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
131,2021-01-06, Store Associate,"Current Employee, more than 1 year","Trowbridge, England, England",4,2.0,3.0,4.0,3.0,2.0,1.0,x,v,x,Good pay. Bad management,"Flexible hours, good pay and lots of opportunities","Long shifts, hard to organise holiday, takes a long time to get a pay rise",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
133,2021-01-07, Store Assistant,Current Employee,"Newcastle upon Tyne, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Excellent company to work for,"Good pay, excellent to work for",4am starts are a killer,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
135,2021-01-08, Shop Assistant,"Former Employee, more than 5 years","Llandudno, Wales, Wales",5,5.0,4.0,5.0,5.0,4.0,5.0,v,v,v,Brilliant company and great place to work!,Flexible hours (really understanding of other commitments) and great pay,None to speak of. Great company!,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
137,2021-01-08, Store Assistant,"Current Employee, more than 3 years","Crewe, England, England",3,2.0,3.0,3.0,3.0,4.0,3.0,v,o,v,Good Company,"Pay, Bonuses, Holidays, Staff perks,","Long irregular Work hours, fast paced environment",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
139,2021-01-09, Deputy Manager,"Current Employee, more than 3 years","Glasgow, Scotland, Scotland",4,3.0,4.0,4.0,4.0,4.0,4.0,v,r,v,Great company to work for,"Good management at the top
Store level management can vary","Can be physically hard
Some managers need retrained",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
141,2021-01-10, Retail Sales Assistant,"Former Employee, less than 1 year","Warrington, North West England, England, England",5,5.0,5.0,5.0,4.0,5.0,5.0,o,o,o,Great company,"Always overtime , good working conditions",Hard working but the day goes fast,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
143,2021-01-11, Customer Serice,"Former Employee, more than 1 year","Birmingham, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,--,Enjoyed my time here and the staff,Not any cons that I can think of,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
145,2021-01-11, Store Associate,Current Employee,"Hastings, England, England",3,2.0,2.0,2.0,3.0,2.0,1.0,v,r,r,Review,Higher rate of pay and paid breaks.,"You are worked to death, In my opinion, the extra £1 an hour isn't worth the amount of work you do, they also aren't very considerate with shift patterns or routine hours.",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
147,2021-01-12, Aldi Store Assistant,"Current Employee, more than 3 years","Coleshill, West Midlands, England, England",4,2.0,3.0,5.0,3.0,4.0,5.0,v,o,v,amazing,good community and good eenviroment,long hours but u must be flexible,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
149,2021-01-12, HGV DriverClass1,"Current Employee, more than 5 years","Neston, North West England, England, England",5,5.0,5.0,5.0,3.0,4.0,5.0,o,o,o,Overall good easy work,"Work life balance, hourly rate, holidays, canteen,",Some staff members but when you’re working with so many people you’ll always come across your fair share of divs,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
151,2021-01-14, Aldi Associate,"Former Employee, more than 1 year","Atherstone, England, England",3,3.0,2.0,4.0,2.0,1.0,2.0,x,r,r,Only good if you're in the office or great friends with a manager,"Good pay, colleagues were great",No room for career growth unless you start 3 rungs up the ladder (in the office) and have a university qualification,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
